timestamp,host,latency_ms
2025-07-06T07:14:18.907865,208.67.222.222,29.0
2025-07-06T07:14:19.078456,8.8.8.8,timeout
2025-07-06T07:14:19.079523,1.1.1.1,8.0
2025-07-06T07:14:19.081038,cloudflare.com,5.0
2025-07-06T07:14:19.085141,ec2.ap-southeast-2.amazonaws.com,timeout
2025-07-06T07:14:19.085828,208.67.222.222,timeout
2025-07-06T07:14:19.279068,8.8.8.8,29.0
2025-07-06T07:14:19.279670,1.1.1.1,10.0
2025-07-06T07:14:19.280286,cloudflare.com,11.0
2025-07-06T07:14:19.294909,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:19.295461,208.67.222.222,29.0
2025-07-06T07:14:19.482906,8.8.8.8,29.0
2025-07-06T07:14:19.483456,1.1.1.1,8.0
2025-07-06T07:14:19.483945,cloudflare.com,6.0
2025-07-06T07:14:19.499675,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:19.500252,208.67.222.222,29.0
2025-07-06T07:14:19.690516,8.8.8.8,33.0
2025-07-06T07:14:19.691051,1.1.1.1,5.0
2025-07-06T07:14:19.691528,cloudflare.com,6.0
2025-07-06T07:14:19.708587,ec2.ap-southeast-2.amazonaws.com,43.0
2025-07-06T07:14:19.709258,208.67.222.222,27.0
2025-07-06T07:14:19.902971,8.8.8.8,33.0
2025-07-06T07:14:19.903793,1.1.1.1,8.0
2025-07-06T07:14:19.904674,cloudflare.com,6.0
2025-07-06T07:14:19.917169,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:19.917808,208.67.222.222,32.0
2025-07-06T07:14:20.102367,8.8.8.8,30.0
2025-07-06T07:14:20.103684,1.1.1.1,9.0
2025-07-06T07:14:20.104538,cloudflare.com,7.0
2025-07-06T07:14:20.133507,ec2.ap-southeast-2.amazonaws.com,44.0
2025-07-06T07:14:20.134183,208.67.222.222,29.0
2025-07-06T07:14:20.326695,8.8.8.8,30.0
2025-07-06T07:14:20.327651,1.1.1.1,6.0
2025-07-06T07:14:20.328248,cloudflare.com,8.0
2025-07-06T07:14:20.344376,ec2.ap-southeast-2.amazonaws.com,43.0
2025-07-06T07:14:20.345030,208.67.222.222,28.0
2025-07-06T07:14:20.542224,8.8.8.8,31.0
2025-07-06T07:14:20.542952,1.1.1.1,9.0
2025-07-06T07:14:20.543498,cloudflare.com,6.0
2025-07-06T07:14:20.554366,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:20.554917,208.67.222.222,28.0
2025-07-06T07:14:20.732367,8.8.8.8,31.0
2025-07-06T07:14:20.732901,1.1.1.1,6.0
2025-07-06T07:14:20.733461,cloudflare.com,5.0
2025-07-06T07:14:20.762826,ec2.ap-southeast-2.amazonaws.com,48.0
2025-07-06T07:14:20.763366,208.67.222.222,29.0
2025-07-06T07:14:20.947095,8.8.8.8,28.0
2025-07-06T07:14:20.947781,1.1.1.1,5.0
2025-07-06T07:14:20.948459,cloudflare.com,7.0
2025-07-06T07:14:20.962962,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:20.963501,208.67.222.222,30.0
2025-07-06T07:14:21.144957,8.8.8.8,30.0
2025-07-06T07:14:21.145435,1.1.1.1,5.0
2025-07-06T07:14:21.145826,cloudflare.com,6.0
2025-07-06T07:14:21.169991,ec2.ap-southeast-2.amazonaws.com,53.0
2025-07-06T07:14:21.171186,208.67.222.222,28.0
2025-07-06T07:14:21.351456,8.8.8.8,31.0
2025-07-06T07:14:21.352034,1.1.1.1,7.0
2025-07-06T07:14:21.352633,cloudflare.com,4.0
2025-07-06T07:14:21.365620,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:21.366124,208.67.222.222,30.0
2025-07-06T07:14:21.543910,8.8.8.8,33.0
2025-07-06T07:14:21.544563,1.1.1.1,5.0
2025-07-06T07:14:21.545050,cloudflare.com,5.0
2025-07-06T07:14:21.557516,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:21.558066,208.67.222.222,31.0
2025-07-06T07:14:21.755805,8.8.8.8,30.0
2025-07-06T07:14:21.756336,1.1.1.1,6.0
2025-07-06T07:14:21.756809,cloudflare.com,5.0
2025-07-06T07:14:21.786178,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:21.786752,208.67.222.222,27.0
2025-07-06T07:14:21.964374,8.8.8.8,31.0
2025-07-06T07:14:21.964902,1.1.1.1,6.0
2025-07-06T07:14:21.965431,cloudflare.com,7.0
2025-07-06T07:14:21.984235,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:21.984977,208.67.222.222,29.0
2025-07-06T07:14:22.186146,8.8.8.8,33.0
2025-07-06T07:14:22.186851,1.1.1.1,7.0
2025-07-06T07:14:22.187422,cloudflare.com,3.0
2025-07-06T07:14:22.197079,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:22.197778,208.67.222.222,28.0
2025-07-06T07:14:22.403748,8.8.8.8,30.0
2025-07-06T07:14:22.404691,1.1.1.1,9.0
2025-07-06T07:14:22.405553,cloudflare.com,5.0
